#separator:tab
#html:true
#tags column:8
Spanish	English	Swedish	Tag	Example ES	Example EN	Comment	Tag
Botas de montar	The riding boots	Ridstövlar ✓	Noun	Me compré unas botas de montar nuevas.	I bought a new pair of riding boots.	Botas de montar also refers to riding boots used in equestrian sports.	Noun
La bala	The bullet ✓	Kulan	Noun	La bala es un objeto peligroso.	The bullet is a dangerous object.	La bala can also refer to a metaphorical bullet, like a critical decision or moment.	Noun
Los aperos	The implements	Verktygen (när det handlar om jordbruk) ✓	Noun	Los aperos son esenciales para el trabajo en el campo.	The implements are essential for work in the field.	Los aperos can also refer to tools used in various other contexts, not just agriculture.	Noun
Aplazar	To postpone	Att skjuta upp ✓	Verb	Voy a aplazar la reunión para la próxima semana.	I am going to postpone the meeting until next week.	Aplazar also means to delay or defer, depending on the context.	Verb
¡Oído cocina!	Listen up! ✓	Lyssna upp!	Interjection	¡Oído cocina! Vamos a empezar la cena.	Listen up! We are going to start dinner.	¡Oído cocina! is also used to mean I understand in conversational contexts.	Interjection
¡Abucheo!	Boo! ✓	Boo!	Interjection	El público gritó ¡Abucheo! cuando el jugador falló el penalti.	The crowd yelled ¡Abucheo! when the player missed the penalty.	¡Abucheo! can be used to express disapproval in various contexts, from sports to performances.	Interjection
Aparentar	To pretend ✓	Att låtsas	Verb	Ella aparenta estar feliz, pero en realidad se siente triste.	She pretends to be happy, but in reality she feels sad.	Aparentar could also mean to give an outward appearance or to show something that may not reflect the true nature.	Verb
Cuqui	Cute ✓	Söt	Adjective	Ese gatito es muy cuqui.	That kitten is very cute.	Cuqui can also describe someone as sweet or lovely, not just physically cute.	Adjective
De lado	Sideways ✓	På sidan	Adverb	El coche estaba estacionado de lado.	The car was parked sideways.	De lado is also used to describe a position or action thats not straight, like when leaning or turning.	Adverb
Dejar mal a una persona	To put a person in a bad light ✓	Att sätta en person i dålig dager	Phrase	Decir algo negativo sobre alguien puede dejar mal a una persona.	Saying something negative about someone can put a person in a bad light.	Dejar mal a una persona can also refer to making someone look foolish or incompetent.	Phrase
Dios lo bendiga	God bless you ✓	Gud välsigna dig	Phrase	Espero que todo te vaya bien, Dios lo bendiga	I hope everything goes well for you, God bless you	Dios lo bendiga can also be used as a farewell or to show goodwill.	Phrase
Distraer	To distract ✓	Distrahera	Phrase	Voy a distraer a mi hermana con un juego.	I am going to distract my sister with a game.	Distraer could imply diverting attention in various contexts, such as entertainment or conversation.	Phrase
El abogado	The lawyer ✓	Advokaten	Noun	El abogado trabaja en un bufete.	The lawyer works at a law firm.	El abogado could refer to a person who defends someones rights in legal matters.	Noun
El ahuevonado	An idiot ✓	Den idiot	Noun	No seas el ahuevonado que nadie quiere hablar contigo.	Dont be the idiot that nobody wants to talk to.	El ahuevonado also refers to someone acting foolishly or carelessly in various contexts.	Noun
El arancel	The tariff ✓	Tullen	Noun	El arancel afecta el precio de los productos importados.	The tariff affects the price of imported goods.	El arancel commonly refers to customs duties or fees imposed on goods crossing borders.	Noun
El cuarto	The room ✓	Rummet	Noun	El cuarto está limpio.	The room is clean.	El cuarto can refer to a physical room or be used in expressions like el cuarto de baño (the bathroom).	Noun
El entero	The whole ✓	Hela	Noun	El entero es necesario para entender el concepto.	The whole is necessary to understand the concept.	El entero can also refer to completeness or integrity in various contexts.	Noun
El manerismo	The mannerism ✓	Manierismen	Noun	El manerismo es un estilo artístico muy interesante.	The mannerism is a very interesting artistic style.	El manerismo can also refer to specific behaviors or traits that are overly stylized or artificial.	Noun
El monje	The monk ✓	Munken	Noun	El monje medita en silencio.	The monk meditates in silence.	El monje can also refer to various cultural representations in literature and film.	Noun
El pánico	The panic ✓	Paniken	Noun	El pánico se apoderó de todos en la sala.	The panic took over everyone in the room.	El pánico can refer to the feeling of anxiety or fear in various contexts.	Noun
El punto es que...	The point is... ✓	Poängen är att...	Phrase	El punto es que debemos ser responsables.	The point is that we must be responsible.	El punto es que... can be used to introduce a conclusion or key idea in a discussion.	Phrase
El rendimiento	The performance ✓	Prestationen	Noun	El rendimiento del equipo ha mejorado.	The performance of the team has improved.	El rendimiento can refer to performance in various contexts, such as sports, academics, or machinery.	Noun
El vinilo	The vinyl ✓	Vinylskivan	Noun	El vinilo es un objeto muy apreciado por los coleccionistas.	The vinyl is a highly valued item among collectors.	El vinilo can refer to the music genre or the medium used to play music.	Noun
Hoy por hoy	Today for today ✓	Idag för idag	Phrase	Hoy por hoy, la tecnología es esencial en nuestras vidas.	Today for today, technology is essential in our lives.	Hoy por hoy can also imply a sense of current reality or circumstances.	Phrase
La litera	The bunk bed ✓	Överslafen	Noun	Los niños duermen en la litera.	The children sleep in the bunk bed.	La litera can also refer to a sleeping arrangement in trains or hostels.	Noun
La paloma	The dove ✓	Duvan	Noun	La paloma vuela en el cielo.	The dove flies in the sky.	La paloma also refers to symbols of peace or be used in various idiomatic expressions.	Noun
La promesa	The promise ✓	Löftet	Noun	La promesa es importante para mantener la confianza.	The promise is important to maintain trust.	La promesa can also refer to a commitment or a vow in various contexts.	Noun
La vibra	The vibe ✓	The vibe	Noun	Me gusta la vibra de este lugar.	I like the vibe of this place.	La vibra can also refer to the general atmosphere or feeling in various contexts, such as music or social gatherings.	Noun
Me caen mal	"I don&#x27;t like them ✓"	Jag gillar dem inte	Phrase	Me caen mal esos chicos	I dont like those boys	Me caen mal could express dislike for things or situations, not just people.	Phrase
Mediante	Through ✓	Genom	Preposition	Mediante el esfuerzo logramos nuestros objetivos.	Through effort, we achieved our goals.	Mediante could be used in formal contexts to mean by means of.	Preposition
Molar tanto	Be cool ✓	Vara cool	Phrase	Me gusta mucho esta música, ¡mola tanto!	I really like this music, it is so cool!	Molar tanto could express excitement or approval in other contexts.	Phrase
No lo pillo	"I don&#x27;t get it ✓"	Jag fattar inte	Phrase	El profesor explicó la lección, pero yo no lo pillo.	The teacher explained the lesson, but I dont get it.	No lo pillo can also be used informally to express confusion about various topics, not just academic ones.	Phrase
Para ir ya	To go now ✓	För att gå nu	Phrase	Necesitamos salir temprano, para ir ya.	We need to leave early, to go now.	Para ir ya could imply urgency or a need to leave immediately.	Phrase
Poner el disfraz	To put on the costume ✓	Att sätta på sig kostymen	Phrase	Voy a poner el disfraz en la fiesta.	I am going to put on the costume at the party.	Poner el disfraz can also imply dressing up in a playful or festive context.	Phrase
Ponerse high	To get high ✓	Att bli hög	Phrase	Ayer decidí ponerme high con mis amigos.	Yesterday I decided to get high with my friends.	Ponerse high can also refer to feeling euphoric or excessively happy in informal contexts.	Phrase
Por medio de	Through ✓	Genom	Preposition	Por medio de la lluvia, llegamos a casa.	Through the rain, we arrived home.	Por medio de is also used to indicate a means or method for achieving something, not just physical pathways.	Preposition
Por mi mismo	By myself ✓	Jag lärde mig att laga mat på egen hand.	Phrase	Aprendí a cocinar por mi mismo.	I learned to cook by myself.	Por mi mismo emphasizes independence but can also refer to accomplishing tasks with self-reliance.	Phrase
Sacar album	Release an album ✓	Släppa ett album	Phrase	Voy a sacar un álbum este año.	I am going to release an album this year.	Sacar album can also refer to other contexts like sacar un libro meaning to release a book.	Phrase
Se oye...	He oído música en la calle.	Man hör... ✓	Phrase	Se oye música en la calle.	You can hear music in the street.	Se oye... could be used in expressions to indicate sounds heard from a distance or to imply someone is talking about something.	Phrase
Si igual viniste	If you came anyway ✓	Om du ändå kom	Conjunction/subjunction	Si igual viniste, podrías quedarte un rato.	If you came anyway, you could stay for a while.	Si igual viniste can imply acceptance of a situation despite initial apprehensions.	Conjunction/subjunction
Tal y como	Just as ✓	Precis som	Conjunction/subjunction	Tal y como lo prometí, cumplí con mi palabra.	Just as I promised, I kept my word.	Tal y como is also used to introduce comparisons or illustrate a point.	Conjunction/subjunction
Tantos como ...	Many as ...	Hur många som helst ✓	Phrase	Tantos como quieras, puedes venir a la fiesta.	As many as you want, you can come to the party.	Tantos como ... can be used to express abundance or unlimited quantities in various contexts.	Phrase
Tornar	To return ✓	Att återvända	Verb	Voy a tornar a casa.	I am going to return home.	Tornar can mean to turn or change in different contexts.	Verb
Tras	After ✓	Efter	Preposition	Tras la cena, fuimos a pasear.	After dinner, we went for a walk.	Tras can also mean behind in different contexts.	Preposition
Subyacer	To underlie, be underneath / be hidden ✓	Att underligga	Verb	La historia subyace en la cultura de ese pueblo.	The history underlies the culture of that town.	Subyacer can imply deeper meanings or hidden truths.	Verb
El azar	Fate, chance, luck ✓	Ödet	Noun	El azar a veces decide nuestro destino.	Chance sometimes determines our destiny.	El azar can also refer to randomness or unpredictability in various contexts.	Noun
Será que..?	Will it be?	Skulle .. kunna ..? ✓	Phrase	¿Será que vamos a la playa mañana?	Will it be that we are going to the beach tomorrow?	Será que..? can express doubt or curiosity about a situation or possibility.	Phrase
Me da rabía	It makes me mad ✓	Det gör mig arg	Phrase	Me da rabía cuando no me escuchan.	It makes me mad when they dont listen to me.	Me da rabía can be used to express frustration in various situations beyond just being mad.	Phrase
El chandál	The tracksuit ✓	Joggingdräkten	Noun	El chandál es muy cómodo para hacer ejercicio.	The tracksuit is very comfortable for exercising.	El chandál in some contexts can refer to a casual outfit.	Noun
El rincón	The corner ✓	Hörnet	Noun	El rincón es un lugar tranquilo para leer.	The corner is a quiet place to read.	El rincón can refer to a physical space or metaphorically to a memory or place in ones life.	Noun
Tener cuadritos	To have abs ✓	Att ha magrutor	Phrase	Ella entrena todos los días para tener cuadritos.	She trains every day to have abs.	The phrase Tener cuadritos can also refer to being fit or toned in general.	Phrase
Delgado	Slim ✓	Slank	Adjective	Él es delgado y alto.	He is slim and tall.	Delgado can describe not just body shapes, but also objects, like a delgado libro meaning a slim book.	Adjective
No me peló	"He/she wasn&#x27;t interested in me ✓"	Han/hon var inte intresserad av mig	Phrase	El chico que me gustaba no me peló.	The guy I liked wasnt interested in me.	No me peló can express indifference in other contexts, such as not paying attention.	Phrase
Te apesta la boca	Your mouth stinks ✓	Din mun stinker	Phrase	Te apesta la boca, deberías cepillarte los dientes.	Your mouth stinks, you should brush your teeth.	Te apesta la boca can be used humorously or in a friendly teasing manner.	Phrase
Seguido	Continued/recurring ✓	Fortsatt	Adjective	Voy al gimnasio seguido.	I go to the gym regularly.	Seguido also means after in some contexts, indicating a sequence.	Adjective
La migraña	The migraine ✓	Migrän	Noun	La migraña me causa mucho dolor.	The migraine causes me a lot of pain.	La migraña could potentially refer to a painful headache condition affecting many people.	Noun
Será algo estilo...	Something along the lines... ✓	Det kommer att vara något i stil med...	Phrase	Será algo estilo fiesta en la playa.	It will be something like a beach party.	Será algo estilo... can be used to describe various situations or events, often suggesting a similarity or inspiration from a specific theme.	Phrase
Me pone los cuernos	He/she cheats on me ✓	Han/hon lurar på mig	Phrase	Mi pareja me pone los cuernos	My partner cheats on me	The phrase can also refer to being deceived or betrayed in other contexts.	Phrase
Frenar	To brake/halt (lit. or fig.) ✓	Att bromsa	Verb	Es importante frenar el coche antes de llegar a un semáforo.	It is important to brake the car before reaching a traffic light.	Frenar could also be used figuratively to mean to halt or to slow down in various contexts.	Verb
Adelantar un coche	To overtake a car ✓	Överträffa en bil	Phrase	Es importante saber cuándo es seguro adelantar un coche.	It is important to know when it is safe to overtake a car.	Adelantar un coche can also refer to surpassing someone in a competition or progress.	Phrase
¿Quién en su sano juicio?	Who in their right mind (lit. judgement)? ✓	Vem i sitt rätta sinne?	Phrase	¿Quién en su sano juicio compraría un coche tan caro?	Who in their right mind would buy such an expensive car?	This phrase can express disbelief or criticism of someones decision or action.	Phrase
Comúnmente	Commonly ✓	Vanligt	Adjective	Comúnmente, los estudiantes estudian en la biblioteca.	Commonly, students study in the library.	Comúnmente is also used to describe habits or trends.	Adjective
El tipazo	A &quot;great guy&quot; ✓	En bra kille	Noun	El tipazo siempre ayuda a sus amigos.	The great guy always helps his friends.	El tipazo is also used to refer to someone who is very impressive or stands out positively in a group.	Noun
El vinculo	The link ✓	Länken	Noun	El vínculo entre ellos es fuerte.	The link between them is strong.	El vínculo can be used to refer to connections in relationships or data.	Noun
Voy a ganarte	"I&#x27;m going to beat you (win) ✓"	Jag ska slå dig	Phrase	En la competencia, voy a ganarte y demostraré que soy el mejor.	In the competition, Im going to beat you and Ill prove I am the best.	Voy a ganarte can also be used in a playful context, not just competitive.	Phrase
..Y tal	..and such	..och så ✓	Conjunction/subjunction	Me gusta bailar salsa, hip hop, y tal.	I like to dance salsa, hip hop, and such.	..y tal also implies other similar things or activities in a casual conversation.	Conjunction/subjunction
Encerrar	To enclose, to lock in ✓	Att innesluta	Verb	Voy a encerrar el libro en la caja.	I am going to enclose the book in the box.	Encerrar can also be used metaphorically to mean enclosing thoughts or feelings.	Verb
La orejota	The big ear (derogatory) ✓	Den stora örat	Noun	No puedo dejar de burlarme de tus orejotas.	"I can&#x27;t stop making fun of your hugmungous ears."	The term La orejota can be used informally to describe someone overly attentive or nosy.	Noun
Me lo merezco	I deserve it ✓	Jag förtjänar det	Phrase	Hoy me compré un postre porque me lo merezco.	Today I bought myself a dessert because I deserve it.	Me lo merezco can be used to express self-affirmation or entitlement in various situations.	Phrase
Evitar	To avoid ✓	Att undvika	Verb	Voy a evitar el tráfico.	I am going to avoid the traffic.	Evitar can also be used in contexts like avoiding certain behaviors or situations.	Verb
Viciado	Addicted, stale, flawed ✓	Beroende	Adjective	Él está viciado a los videojuegos.	He is addicted to video games.	Viciado additionally refers to something that is flawed or stale in different contexts.	Adjective
La caña	The cane, beer, small cup ✓	Den cane	Noun	Me gusta tomar la caña al atardecer.	I like to have the cane at sunset.	La caña can refer to a small beer or a cane, showcasing its versatility in Spanish.	Noun
Desgraciado	Disgraceful, unfortunate ✓	Oansvarig	Adjective	El comportamiento de ese jugador fue desgraciado.	The players behavior was disgraceful.	Desgraciado can also refer to a person considered unfortunate or pitiful in a more colloquial sense.	Adjective
Hacer efectivo	To cash in ✓	Att göra verklig	Phrase	Voy a hacer efectivo el cheque mañana.	I am going to cash in the check tomorrow.	Hacer efectivo could mean to realize or to put into effect something, depending on the context.	Phrase
El cochazo	The cool car	Vrålåket ✓	Noun	El cochazo es impresionante.	The cool car is impressive.	El cochazo could also be used to refer to an expensive or luxurious car.	Noun
¡Métele caña!	Go for it! ✓	Gör det	Interjection	¡Métele caña a la fiesta!	Go for it at the party!	¡Métele caña! can also mean to put more effort or enthusiasm into something.	Interjection
El mazo	The deck (cards) ✓	Kortleken	Noun	El mazo está sobre la mesa.	The deck is on the table.	El mazo refers specifically to the set of playing cards.	Noun
La piedra	The stone	Sten ✓	Noun	La piedra es muy dura.	The stone is very hard.	La piedra refers to a specific stone in Spanish.	Noun
La conmoción/El impacto	The shock (feeling) ✓	Chocken	Noun	La conmoción fue profunda después de la noticia.	The shock was profound after the news.	La conmoción is used to describe the emotional impact of an unexpected event.	Noun
Darse cuenta	To realize ✓	Att inse	Phrase	Ella se dio cuenta de su error.	She realized her mistake.	Darse cuenta is used to express the moment of realization or awareness.	Phrase
¡Anda!	Come on! ✓	Kom igen!	Interjection	¡Anda! Vamos a la fiesta.	Come on! Lets go to the party.	Used to express encouragement or motivation.	Interjection
Desmayarse	To faint	Svimma ✓	Verb	Ella se desmayó en la fiesta.	She fainted at the party.	Desmayarse is used to describe the act of losing consciousness temporarily.	Verb
Está por verse (si)	Has decidido qué ciudad visitar? está por verse (si).	Det återstår att se (om) ✓	Phrase	Has decidido qué ciudad visitar? Está por verse (si).	Have you decided what city to visit? It remains to be seen (if).	Está por verse (si) expresses uncertainty about a future situation.	Phrase
Ladrar	Ladrar	Skälla (hund) ✓	Verb	El perro empieza a ladrar por la noche.	The dog starts to bark at night.	Ladrar is commonly used to describe the sound made by dogs.	Verb
La huerta	The vegetable garden	Grönsakslandet ✓	Noun	La huerta es muy hermosa.	The vegetable garden is very beautiful.	La huerta refers specifically to a vegetable garden, commonly used in conversations about gardening or agriculture.	Noun
Manar	Flow, run, stream ✓	Att flöda	Verb	El agua mana por la montaña.	The water flows down the mountain.	Manar is used to describe the movement of liquids.	Verb
El cabello	The hair	Håret ✓	Noun	El cabello es muy importante para la estética.	The hair is very important for aesthetics.	El cabello refers specifically to hair, often emphasizing its appearance or health.	Noun
La espuma	Foam, froth, bubbles, scum ✓	Skummet	Noun	La espuma en la bañera es muy relajante.	The foam in the bathtub is very relaxing.	La espuma refers to the frothy texture created in various contexts, such as bathing or cooking.	Noun
La concha	The shell (turtle/seashell) / the pussy (colloquial) ✓	Snäckan / snippan	Noun	La concha es hermosa.	The shell is beautiful.	La concha can refer to a seashell or is used colloquially for female anatomy.	Noun
Resbalar	Slip, slide / run, trickle (liquid) ✓	Att resbala	Verb	El perro puede resbalar en el hielo.	The dog can slip on the ice.	Used to describe slipping or sliding, often in contexts involving surfaces like ice or water.	Verb
Brotar	Sprout, break out, spring up ✓	Att brotta	Verb	Las plantas comienzan a brotar en primavera.	The plants begin to sprout in spring.	Brotar is commonly used to describe the process of growth or emergence in nature.	Verb
El nido	The nest	(fågel-) boet, nästet ✓	Noun	El nido está en el árbol.	The nest is in the tree.	El nido refers specifically to a birds nest in this context.	Noun
La carroña	The carrion	Kadavret ✓	Noun	La carroña es un signo de la muerte.	The carrion is a sign of death.	La carroña refers to decaying flesh and is often used metaphorically to discuss decay or corruption in broader contexts.	Noun
El cántaro	The jug	Stor vas med vatten (av lera) ✓	Noun	El cántaro está lleno de agua.	The jug is full of water.	El cántaro refers specifically to a clay jug commonly used for holding water.	Noun
El ingenio	The wit	Kvickhet, klipskhet ✓	Noun	El ingenio es una cualidad valiosa en la vida.	The wit is a valuable quality in life.	El ingenio refers to cleverness or quick thinking.	Noun
El vertiente	The slope	En slänt eller sluttning där vatten rinner ✓	Noun	El vertiente se forma cuando la lluvia cae sobre una colina.	The slope is formed when rain falls on a hill.	El vertiente refers to a specific type of slope where water flows, typically influenced by rainfall.	Noun
Lidiar (con)	Deal (with) / fight ✓	Att hantera	Verb	Lidiar con los problemas es difícil.	Dealing with problems is difficult.	Lidiar (con) is often used to express the act of coping or addressing difficulties or challenges.	Verb
Novedoso	Novel, new, original ✓	Nyskapande	Adjective	Esta es una idea novedosa.	This is a novel idea.	Novedoso describes something that is original or innovative.	Adjective
Abrumar	Burden, weigh down, overwhelm ✓	Att överväldiga	Verb	El trabajo puede abrumar a muchas personas.	The work can overwhelm many people.	Abrumar is often used to express feelings of being burdened or weighed down by responsibilities.	Verb
Aportar	Contribute / provide ✓	Att bidra	Verb	Voy a aportar ideas en la reunión.	I am going to contribute ideas in the meeting.	Aportar is commonly used to express the act of giving or contributing something valuable.	Verb
Meramente	Only, merely ✓	Mer endast	Adjective	Es meramente una sugerencia.	It is merely a suggestion.	Meramente is used to emphasize that something is only what is stated, without any additional implications.	Adjective
Ofrecer	To offer ✓	Att erbjuda	Verb	Quiero ofrecerte ayuda.	I want to offer you help.	Ofrecer is used to express the act of making something available to someone.	Verb
El aporte	The contribution ✓	Bidraget	Noun	El aporte es fundamental para el desarrollo del proyecto.	The contribution is essential for the projects development.	El aporte refers to a significant input or support in various contexts.	Noun
Involucrar	To involve ✓	Att involvera	Verb	Es importante involucrar a todos en la decisión.	It is important to involve everyone in the decision.	Involucrar is used to indicate the act of including others in a process or decision.	Verb
Involucrarse (en)	To get involved (with), take part (in) ✓	Att engagera sig (i)	Verb	Me gusta involucrarme en actividades comunitarias.	I like to get involved in community activities.	Involucrarse (en) is used to express participation or engagement in activities or events.	Verb
La lente	The lens	Linsen (optik) ✓	Noun	La lente es transparente.	The lens is transparent.	La lente refers to the optical component used in glasses and cameras.	Noun
Las lentejas	The lentils	Linserna (mat) ✓	Noun	Las lentejas son saludables.	The lentils are healthy.	Las lentejas refers to lentils in Spanish, commonly used in cooking.	Noun
Encarnado 	Embedded ✓	Inkarnerad	Adjective	El mensaje está encarnado en la obra.	The message is embodied in the work.	Encarnado describes something that is represented or manifested in a tangible form.	Adjective
Afinar	Refine, perfect, tune,  ✓	Att raffinera	Verb	Voy a afinar mi guitarra.	I am going to tune my guitar.	Afinar is commonly used when adjusting musical instruments or improving skills.	Verb
El apuro	The rush / predicament, difficult situation ✓	Brådskan	Noun	Estoy en un apuro y necesito ayuda.	I am in a rush and need help.	El apuro refers to a difficult situation or urgent predicament.	Noun
El plazo	The period, time-window / deadline ✓	Tidsperioden	Noun	El plazo para presentar la solicitud es el viernes.	The deadline to submit the application is Friday.	El plazo refers to a specific timeframe or deadline for completing a task.	Noun
Escoger	To pic, choose, select ✓	Att välja	Verb	Debes escoger un libro para leer.	You must choose a book to read.	Escoger is used to indicate the act of making a choice or selection.	Verb
Proveer de	Supply, provide with ✓	Förse med	Verb	El gobierno debe proveer de recursos a los ciudadanos.	The government must provide with resources to the citizens.	Used to indicate supplying or providing someone with something necessary or useful.	Verb
Empedras	To pave ✓	Paviera	Verb	Ellos empedran la calle con piedras.	They pave the street with stones.	Empedras is the second person singular form of the verb empedrar, meaning to cover a surface with stones.	Verb
Empedrado	Paved / overcast, clowdy ✓	Paved	Adjective	El camino está empedrado.	The road is paved.	Empedrado describes a surface that is paved or covered with stones.	Adjective
El empedrado	The paving, stone pavement ✓	Det empedrade	Noun	El empedrado en la plaza es muy bonito.	The paving in the square is very beautiful.	El empedrado refers to a stone pavement, often found in urban settings.	Noun
El ocio	The entertainment, leisure / free time, spare time ✓	Underhållningen	Noun	El ocio es fundamental para el bienestar mental.	Leisure is essential for mental well-being.	El ocio refers to free time activities that enhance quality of life.	Noun
La estafa	The bluff ✓	Bluffen	Noun	La estafa fue un gran problema en la ciudad.	The bluff was a major issue in the city.	La estafa refers to a deception or scam, commonly used in discussions about fraud.	Noun
Vivir algo	Experience something ✓		Phrase	Quiero vivir algo emocionante este fin de semana.	I want to experience something exciting this weekend.	Vivir algo is often used to express the desire to have a meaningful or thrilling experience.	Phrase
Pues ya	Oh well.../so yeah... ✓	Så ja	Interjection	No tengo planes para hoy, pues ya me quedaré en casa.	I have no plans for today, so yeah, Ill stay home.	Pues ya is used to express resignation or acceptance of a situation.	Interjection
No tiene nada que ver con...	It has nothing to do with... ✓	Det har inget att göra med...	Phrase	No tiene nada que ver con el clima.	It has nothing to do with the weather.	This phrase is used to indicate that something is unrelated to another topic.	Phrase
Uno de vez	One at a time ✓	Svenska	Phrase	Voy a hacer los ejercicios uno de vez.	I am going to do the exercises one at a time.	Uno de vez is used to indicate a methodical approach to completing tasks.	Phrase
Aportar cero	Aportar cero	Bidra med noll ✓	Phrase	No quiero aportar cero en este proyecto.	I do not want to contribute zero to this project.	Aportar cero is used to express the idea of not contributing anything.	Phrase
Anoche	Last night ✓	Igår kväll	Adverb	Anoche fui al cine.	Last night I went to the cinema.	Anoche is used to refer to the night before the current day.	Adverb
Deslizar	To slide ✓	Att glida	Verb	El niño quiere deslizarse por el tobogán.	The boy wants to slide down the slide.	Deslizar is commonly used to describe movement along a surface.	Verb
Scrollear/Hacer scroll en	To scroll (colloquial) (2) ✓	Att scrolla (vardagligt)	Phrase	Me gusta scrollear en Instagram.	I like to scroll on Instagram.	It is commonly used in casual conversation.	Phrase
Jugetón	Playful ✓	Lekfull	Adjective	El perro es muy jugetón.	The dog is very playful.	Jugetón describes the playful nature of someone or something.	Adjective
Escocia	Scotland ✓	Skottland	Noun	Escocia es un lugar hermoso.	Scotland is a beautiful place.	Escocia refers to the country known for its stunning landscapes and rich history.	Noun
Imputado	Accused ✓	Åtalad	Adjective	El imputado negó todas las acusaciones.	The accused denied all the charges.	Imputado refers to someone who is accused of a crime.	Adjective
La secundaria	The high school ✓	Gymnasiet	Noun	La secundaria es un lugar donde los estudiantes aprenden.	The high school is a place where students learn.	La secundaria refers specifically to the secondary education level in Spanish-speaking countries.	Noun
A estas alturas	At this point ✓	Vid det här laget	Phrase	A estas alturas, ya deberías haber terminado la tarea.	At this point, you should have finished the homework.	A estas alturas is used to indicate the current status or expectations at a particular time in the past or present.	Phrase
En fin	In the end ✓	Slutligen	Adverb	En fin, decidí quedarme en casa.	In the end, I decided to stay home.	En fin is often used to summarize or conclude a discussion.	Adverb
Hacer falta	To need/to miss ✓	Att behöva	Phrase	Me hace falta un libro.	I need a book.	Hacer falta is used to express a need or absence of something.	Phrase
Hacerse despistado	To play dumb ✓	Att spela dum	Phrase	A veces, la gente se hace despistada para evitar responsabilidades.	Sometimes, people play dumb to avoid responsibilities.	Used to describe pretending not to understand or know something.	Phrase
Ni de broma	No way/absolutely not ✓	Aldrig i livet.	Phrase	No voy a comer esa comida, ni de broma.	Im not going to eat that food, no way.	Ni de broma is used to strongly reject or refuse something.	Phrase
Caer en cuenta	To realize (2) ✓	Falla i förstå	Phrase	Al estudiar la lección, empecé a caer en cuenta de mis errores.	While studying the lesson, I began to realize my mistakes.	Caer en cuenta is commonly used to express the moment someone becomes aware of something.	Phrase
Meterse cuenta	To realize (3) ✓	Inse	Phrase	Me metí cuenta de que olvidé mi libro.	I realized that I forgot my book.	Meterse cuenta is used to express the action of becoming aware of something.	Phrase
Ojalá que te cague un paloma	I hope a pigeon shits on you ✓	Förhoppningsvis skiter en duva på dig	Phrase	Ojalá que te cague un paloma.	I hope a pigeon shits on you.	This phrase is used to express a strong negative sentiment in a humorous or sarcastic way.	Phrase
Maduro	Mature/ripe ✓	Moden	Adjective	La fruta está madura.	The fruit is ripe.	Maduro is used to describe something that is mature or fully developed.	Adjective
Ir por/tomar la salida fácil	To take the easy way out ✓	Att ta den lätta vägen	Phrase	A veces es tentador ir por la salida fácil.	Sometimes its tempting to take the easy way out.	The phrase is used to describe opting for a simpler or less challenging solution.	Phrase
Darse con la realidad	To face reality ✓	Möta verkligheten	Phrase	A veces es difícil darse con la realidad y aceptar lo que sucede.	Sometimes its hard to face reality and accept what happens.	The phrase is used to express the challenge of acknowledging unpleasant truths.	Phrase
El bucle	The loop ✓	Loopen	Noun	El bucle es infinito.	The loop is infinite.	El bucle refers to a repetitive structure often used in programming or discussions about cycles.	Noun
Suficientemente	Enough (adverb) ✓	Tillräckligt	Adverb	Ella estudia suficientemente para pasar el examen.	She studies enough to pass the exam.	Suficientemente is used to indicate an adequate amount or degree.	Adverb
Constantemente	Constantly ✓	Konstant	Adverb	Ella estudia constantemente.	She studies constantly.	Constantemente is used to describe an action that happens without interruption.	Adverb
Dar tumbos	To stumble ✓	Att snubbla	Phrase	Ella da tumbos al caminar.	She stumbles while walking.	Dar tumbos is used to describe someone or something moving unsteadily or clumsily.	Phrase
El atraso	The delay ✓	Förseningen	Noun	El atraso fue causado por problemas técnicos.	The delay was caused by technical issues.	El atraso refers to a setback or delay in progress.	Noun
Ponerle más onda	To make it more cool (latam) ✓	För att göra det mer cool	Phrase	Vamos a ponerle más onda a la fiesta.	We are going to make the party more cool.	Ponerle más onda is often used to suggest making something more fun or lively.	Phrase
Tener onda	Be cool/have coolness (latam) ✓	Coolhet	Phrase	Esa persona tiene onda.	That person is cool.	Tener onda is commonly used in Latin America to describe someone who is stylish or has charisma.	Phrase
La ballesta	The crossbow ✓	Den korsbågen	Noun	La ballesta es una antigua arma de lujo.	The crossbow is an ancient weapon of luxury.	La ballesta refers specifically to a historical weapon known for its accuracy and range.	Noun
Con las llaves puestas	With (leaving) the keys in place ✓	Med nycklarna kvar	Phrase	Salí de casa con las llaves puestas.	I left home with the keys in place.	This phrase suggests leaving keys in a specific location for convenience.	Phrase
De golpe	Suddenly (4) ✓	Plötsligt	Adverb	De golpe, se apagó la luz.	Suddenly, the light went out.	De golpe is used to indicate that something happened unexpectedly.	Adverb
Defender a capa y espada	Defend with tooth and nail ✓	Försvara med näbbar och klor	Phrase	Voy a defender a mi amigo a capa y espada.	I will defend my friend with tooth and nail.	The phrase emphasizes a strong and determined defense.	Phrase
Darse pereza	To be lazy ✓	Att vara lat	Phrase	A veces me da pereza salir a correr.	Sometimes I feel lazy to go running.	Darse pereza is commonly used to express a feeling of laziness or reluctance to do something.	Phrase
